Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00456;"Загорожа колюче-ріжуча спіральна ""Єгоза-Кайман"" 3";;;91 310,99;;;7326 20 00 00;Класифікація: Загорожа з дроту колючого спірального - код 7326 20 00 00 вироби із залізного дроту
ЦДУ-00457;Заземление переносне ЗПЛ-10/10кВт/;;;4 048,69;;;8536 90 85 00;Класифікація: Переносне заземлення електричне - код 8536 90 85 00 апаратура електрична для захисту
ЦДУ-00458;Заземлення переносне ЗПП-15/10 кВт /;;;3 994,29;;;8536 90 85 00;Аналогія: (ЦДУ-00457)Заземление переносне має код 8536 90 85 00 - переносні заземлення
ЦБ-003271;Заклепувальний інструмент GO-6-SP;8205          ;Товар;2 710,00;Інструменти ручні, включаючи алмазні стеклорізи;8205 59 80 00;Уточнення: Заклепувальний інструмент ручний - код 8205 59 80 00 інструменти ручні включаючи алмазні склорізи
ЦБ-003272;Заклепувальний інструмент GO-6-SP;8205          ;Товар;2 710,00;Інструменти ручні, включаючи алмазні стеклорізи;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦБ-003273;Заклепувальний інструмент GO-6-SP;8205          ;Товар;2 710,00;Інструменти ручні, включаючи алмазні стеклорізи;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00459;Заклепувальний інструмент GO-6-SP;;;748,50;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00460;Заклепувальний інструмент GO-6-SP;;;748,50;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00461;Заклепувальний інструмент GO-6-SP;;;748,50;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00462;Заклепувальний інструмент GO-6-SP;;;703,38;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00463;Заклепувальний інструмент GO-6-SP;;;703,38;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00464;Заклепувальний інструмент GO-6-SP;;;703,38;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00465;Заклепувальний інструмент GO-6-SP;;;703,38;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00466;Заклепувальний інструмент GO-6-SP;;;703,38;;;8205 59 80 00;Точний збіг: (ЦБ-003271)Заклепувальний інструмент має код 8205 59 80 00 - ідентичний інструмент
ЦДУ-00467;Запайщик плівки ПКИ 800С;;;1 832,01;;;8422 40 00 00;Класифікація: Машина для упаковування запайна - код 8422 40 00 00 машини для упаковування товарів
ЦДУ-00468;Збірна лінія конвеєрного типу №1 ремонт;;;170 028,65;;;8428 33 00 00;Класифікація: Конвеєрна лінія безперервної дії - код 8428 33 00 00 машини транспортні безперервні для товарів
ЦДУ-00469;Збірна лінія конвеєрного типу №2;;;170 028,65;;;8428 33 00 00;Аналогія: (ЦДУ-00468)Збірна лінія конвеєрного типу має код 8428 33 00 00 - конвеєрні лінії
ЦДУ-00470;Зварювальна колона;;;0,01;;;8515 90 00 00;Класифікація: Частина зварювального обладнання - код 8515 90 00 00 частини машин для зварювання
ЦДУ-00471;Зварювальний апарат;;;2 415,05;;;8515 31 00 00;Класифікація: Апарат зварювальний електричний - код 8515 31 00 00 машини для дугового зварювання металів
ЦДУ-00472;Зварювальний апарат ММА-200;;;1 420,84;;;8515 31 00 00;Аналогія: (ЦДУ-00471)Зварювальний апарат має код 8515 31 00 00 - інверторні зварювачі
ЦДУ-00473;Зварювальний апарат-інвертор Патон ПСІ-200S DS (4005039);;;1 950,19;;;8515 31 00 00;Аналогія: (ЦДУ-00471)Зварювальний апарат має код 8515 31 00 00 - інверторні зварювачі
ЦДУ-00474;Зварювальний верстат (комплект);;;70 478,25;;;8515 31 00 00;Класифікація: Зварювальний верстат в комплекті - код 8515 31 00 00 машини для дугового зварювання
ЦДУ-00475;Зварювальний інветор Edion MMA-301 maxi;;;0,01;;;8515 31 00 00;Аналогія: (ЦДУ-00471)Зварювальний апарат має код 8515 31 00 00 - інверторні зварювачі
ЦДУ-00476;Зварювач настільний з довжиною шва 900 мм;;;787,23;;;8515 11 00 00;Класифікація: Зварювач настільний паяльний - код 8515 11 00 00 машини для паяння м'яким припоєм
ЦДУ-00477;Згинальний верстат (Bending machine);;;8 621,85;;;8462 39 00 00;Класифікація: Верстат листозгинальний - код 8462 39 00 00 машини для гнуття металу
ЦДУ-00478;Земельна ділянка, 0.851 га, кадастровий номер 3211300000:69:034:0061;;;55 000,00;;;Не класифікується;Земельна ділянка - не підлягає класифікації за УКТЗЕД (не є товаром)
ЦДУ-00479;Земельна ділянка, 9.8335 га, кадастровий номер: 3211300000:69:034:0058;;;1 049 971,22;;;Не класифікується;Земельна ділянка - не підлягає класифікації за УКТЗЕД (не є товаром)
ЦДУ-00480;Земельна ділянка, Києво-Святошинський р-н 1,3227га, кадастровий номер: 3222486600:04:004:0042;;;840 972,66;;;Не класифікується;Земельна ділянка - не підлягає класифікації за УКТЗЕД (не є товаром)
ЦДУ-00481;Земельна ділянка, Києво-Святошинський р-н 1,3236 га, кадастровий номер: 3222486600:04:004:0041;;;841 544,88;;;Не класифікується;Земельна ділянка - не підлягає класифікації за УКТЗЕД (не є товаром)
ЦДУ-00484;Змішувач 100 МН;;;2 291,67;;;8479 82 00 00;Класифікація: Змішувач промисловий - код 8479 82 00 00 машини для змішування або розтирання
ЦДУ-00485;Знімач гідравлічний з виносним насосом ЗГ2-20;;;1 945,48;;;8205 59 80 00;Класифікація: Знімач гідравлічний підшипників - код 8205 59 80 00 інструменти ручні гідравлічні
ЦБ-003474;Зчитувач GC-01;8471 60 70 00 ;Импортированный товар;12 271,00;Пристрої введення або виведення даних;8471 60 70 00;Залишити: Код правильний - пристрої введення/виведення даних (зчитувачі)
ЦБ-003476;Зчитувач GC-01;8471 60 70 00 ;Импортированный товар;12 271,00;Пристрої введення або виведення даних;8471 60 70 00;Точний збіг: (ЦБ-003474)Зчитувач GC-01 має код 8471 60 70 00 - ідентичний зчитувач
ЦДУ-00486;Індикатор годинникового типу МІКРОТЕХ ИЧ-10,-0,01 КЛ.1;;;151,20;;;9031 80 38 00;Класифікація: Індикатор годинникового типу вимірювальний - код 9031 80 38 00 інструменти вимірювальні
ЦДУ-00487;Індікатор чергування фаз KS-1;;;2 291,67;;;9030 39 00 00;Класифікація: Індикатор чергування фаз електричний - код 9030 39 00 00 прилади для вимірювання напруги
ЦДУ-00488;Інструмент для нарізки і зачищення дротів SWT-508;;;4 713,36;;;8203 20 00 00;Класифікація: Інструмент для зачищення дротів - код 8203 20 00 00 кліщі пасатижі та подібні інструменти
ЦДУ-00489;Інструмент пресовий (фильера);;;7 161,47;;;8207 90 00 00;Класифікація: Фільєра пресова - код 8207 90 00 00 інструменти змінні для пресування
ЦДУ-00490;Інструмент пресовий (фільєра) ПТЗ-487;;;0,01;;;8207 90 00 00;Аналогія: (ЦДУ-00489)Інструмент пресовий фильера має код 8207 90 00 00 - фільєри
ЦДУ-00491;Інтсрумент верхній на просічно-витяжну машину;;;967,83;;;8207 90 00 00;Класифікація: Інструмент верхній штамповий - код 8207 90 00 00 інструменти змінні для верстатів
ЦДУ-00492;Інтсрумент верхній на просічно-витяжну машину (2);;;967,83;;;8207 90 00 00;Аналогія: (ЦДУ-00491)Інтсрумент верхній має код 8207 90 00 00 - штампові інструменти
ЦДУ-00493;Інтсрумент нижній на просечнo-витяжну машину;;;967,82;;;8207 90 00 00;Аналогія: (ЦДУ-00491)Інтсрумент верхній має код 8207 90 00 00 - штампові інструменти
ЦДУ-00494;Інтсрумент нижній на просечнo-витяжну машину (2);;;967,82;;;8207 90 00 00;Аналогія: (ЦДУ-00491)Інтсрумент верхній має код 8207 90 00 00 - штампові інструменти
ЦДУ-00495;Інфрачервоний пірометр Laserliner ThermoSport Plus;;;406,65;;;9025 19 20 00;Класифікація: Пірометр інфрачервоний безконтактний - код 9025 19 20 00 термометри електронні
ЦДУ-00496;КАВО МАШИНА DELO NGHI ECAM650.75;;;2 194,92;;;8516 71 00 00;Класифікація: Кавомашина електрична побутова - код 8516 71 00 00 апарати електротермічні для приготування кави
ЦДУ-00497;Камера порошкового фарбування двухпостова ручна КН-;;;0,01;;;8424 89 90 00;Класифікація: Камера для порошкового фарбування - код 8424 89 90 00 обладнання для розпилювання рідин
ЦДУ-00498;Камера порошкового фарбування двухпостова ручна КН-;;;705,61;;;8424 89 90 00;Аналогія: (ЦДУ-00497)Камера порошкового фарбування має код 8424 89 90 00 - камери фарбування
ЦДУ-00499;Каркас візка ВВ 4/2 (1200х800мм);;;867,49;;;8716 80 00 00;Класифікація: Каркас візка транспортного - код 8716 80 00 00 частини візків та аналогічних транспортних засобів
ЦДУ-00500;Каркас візка ВВ 4/2 (1200х800мм)10;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00501;Каркас візка ВВ 4/2 (1200х800мм)11;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00502;Каркас візка ВВ 4/2 (1200х800мм)12;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00503;Каркас візка ВВ 4/2 (1200х800мм)2;;;867,44;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00504;Каркас візка ВВ 4/2 (1200х800мм)3;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00505;Каркас візка ВВ 4/2 (1200х800мм)4;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00506;Каркас візка ВВ 4/2 (1200х800мм)5;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00507;Каркас візка ВВ 4/2 (1200х800мм)6;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00508;Каркас візка ВВ 4/2 (1200х800мм)7;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00509;Каркас візка ВВ 4/2 (1200х800мм)8;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
ЦДУ-00510;Каркас візка ВВ 4/2 (1200х800мм)9;;;874,23;;;8716 80 00 00;Аналогія: (ЦДУ-00499)Каркас візка має код 8716 80 00 00 - каркаси транспортних візків
