Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Описание УКТЗЕД;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01101;Стелаж (секція 56);;;2 459,91;;9403 20 00 00;(ЦДУ-01105)Стелаж складський має код 9403 - меблі металеві для зберігання
ЦДУ-01102;Стелаж (секція 5-7);;;8 949,02;;9403 20 00 00;(ЦДУ-01105)Стелаж складський має код 9403 - меблі металеві для зберігання
ЦДУ-01103;Стелаж (секція 57-61);;;22 269,06;;9403 20 00 00;(ЦДУ-01105)Стелаж складський має код 9403 - меблі металеві для зберігання
ЦДУ-01104;Стелаж (секція 8-11-20-23);;;23 830,23;;9403 20 00 00;(ЦДУ-01105)Стелаж складський має код 9403 - меблі металеві для зберігання
ЦДУ-01105;Стелаж складський;;;22 375,10;;9403 20 00 00;(ЦДУ-01105)Стелаж складський має код 9403 - меблі металеві для зберігання
ЦДУ-01106;Стелаж складський (конструкція);;;125 570,58;;9403 20 00 00;(ЦДУ-01105)Стелаж складський має код 9403 - меблі металеві для зберігання
ЦДУ-01107;"Стенд контролю поклейки скла ""на відрив"" поклейка скла";;;1 312,73;;9406 10 00 00;Стенд для контролю - конструкції збірні будівельні
ЦДУ-01108;Стіл;;;546,73;;9403 30 00 00;(ЦБ-003202)Стіл PR Solo має код 9403 - меблі дерев'яні офісні
ЦБ-003202;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна)";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003204;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 10";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003205;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 11";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003206;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 12";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003207;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 13";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003208;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 14";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003209;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 15";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003210;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 16";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003211;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 17";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003212;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 18";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
ЦБ-003213;"Стіл  PR ""Solo"" 29/104-L1600(18мм) Дзерк. (Німфея Альба, Дуб Палєна) 19";9403          ;Товар;1 000,00;Меблі інші та їх частини;9403 30 00 00;Код правильний - столи офісні дерев'яні, залишаємо
