Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-00266;Висушувач повітря DryAir DK-40;;;6 750,51;;
ЦДУ-00267;Висушувач повітря DryAir DK-40(2);;;4 653,32;;
ЦДУ-00268;Висушувач повітря DryAir DK-80;;;14 314,78;;
ЦДУ-00269;Висушувач повітря DryAir DK-90;;;43 208,83;;
ЦДУ-00270;Висушувач повітря DryAir DK-90;;;8 316,90;;
ЦДУ-00271;Витратомір електромагнітний ПРЕМ-UA Dn 65, з індикацією, блоком живлення;;;22 658,80;;
ЦДУ-00272;Витяжна вентиляційна система топкової цеху №1;;;2 300,18;;
ЦДУ-00273;Витяжна вентиляційна система топкової цеху №2;;;3 526,64;;
ЦДУ-00274;Вібратор глибинний електромеханічний ручний JB160 (в зборі);;;4 088,31;;
ЦДУ-00275;Вібраційна шліфувальна машина Bosch GSS 23 A 1;;;324,90;;
ЦДУ-00276;Відеоспостереження;;;192 565,20;;
ЦДУ-00277;Візок 1;;;0,01;;
ЦДУ-00278;Візок 1 Цех №1;;;151,71;;
ЦДУ-00279;Візок 10;;;0,01;;
ЦДУ-00280;Візок 11;;;0,01;;
ЦДУ-00281;Візок 12;;;0,01;;
ЦДУ-00282;Візок 13;;;0,01;;
ЦДУ-00283;Візок 14;;;0,01;;
ЦДУ-00284;Візок 15;;;0,01;;
ЦДУ-00285;Візок 16;;;0,01;;
ЦДУ-00286;Візок 17;;;0,01;;
ЦДУ-00287;Візок 18;;;0,01;;
ЦДУ-00288;Візок 19;;;0,01;;
ЦДУ-00289;Візок 2;;;0,01;;
ЦДУ-00290;Візок 2 Цех №1;;;151,71;;
ЦДУ-00291;Візок 20;;;0,01;;
ЦДУ-00292;Візок 21;;;0,01;;
ЦДУ-00293;Візок 22;;;0,01;;
ЦДУ-00294;Візок 23;;;0,01;;
ЦДУ-00295;Візок 24;;;0,01;;
ЦДУ-00296;Візок 25;;;0,01;;
ЦДУ-00297;Візок 26;;;0,01;;
ЦДУ-00298;Візок 27;;;0,01;;
ЦДУ-00299;Візок 28;;;0,01;;
ЦДУ-00300;Візок 29;;;0,01;;
ЦДУ-00301;Візок 3;;;0,01;;
ЦДУ-00302;Візок 3 Цех №1;;;151,71;;
ЦДУ-00303;Візок 30;;;0,01;;
ЦДУ-00304;Візок 31;;;0,01;;
ЦДУ-00305;Візок 32;;;0,01;;
ЦДУ-00306;Візок 33;;;0,01;;
ЦДУ-00307;Візок 34;;;0,01;;
